app_id,ai_goodness_score,match_reason,human_rating,is_false_positive
A-100000,97,SQL Skills,8,0
A-100001,56,Tech Stack Match,5,0
A-100003,58,Tech Stack Match,3,0
A-100004,32,Experience Match,3,0
A-100005,93,Experience Match,10,0
A-100007,99,Experience Match,9,0
A-100008,56,Communication,6,0
A-100009,64,Tech Stack Match,8,0
A-100010,94,Communication,7,0
A-100011,97,SQL Skills,7,0
A-100012,54,Experience Match,7,0
A-100013,37,Tech Stack Match,3,0
A-100014,74,Communication,6,0
A-100015,70,Experience Match,7,0
A-100016,62,Communication,7,0
A-100017,84,Communication,8,0
A-100018,87,SQL Skills,6,0
A-100019,94,SQL Skills,10,0
A-100020,57,SQL Skills,5,0
A-100021,43,Communication,5,0
A-100022,37,Experience Match,1,0
A-100023,56,Experience Match,5,0
A-100024,57,Tech Stack Match,6,0
A-100025,81,Experience Match,9,0
A-100026,76,Experience Match,9,0
A-100027,59,SQL Skills,6,0
A-100028,92,Communication,7,0
A-100029,44,Tech Stack Match,4,0
A-100030,57,SQL Skills,4,0
A-100031,57,Communication,7,0
A-100032,89,Experience Match,9,0
A-100033,96,SQL Skills,10,0
A-100034,45,Experience Match,5,0
A-100035,97,Experience Match,9,0
A-100036,69,Communication,4,0
A-100038,87,Tech Stack Match,6,0
A-100039,98,Communication,8,0
A-100040,45,Tech Stack Match,5,0
A-100041,37,SQL Skills,4,0
A-100042,51,Experience Match,7,0
A-100043,72,SQL Skills,8,0
A-100044,59,SQL Skills,6,0
A-100045,95,Tech Stack Match,10,0
A-100046,57,Experience Match,6,0
A-100047,79,Communication,7,0
A-100048,48,Tech Stack Match,2,0
A-100049,90,SQL Skills,10,0
A-100050,46,Experience Match,3,0
A-100051,61,Experience Match,4,0
A-100052,96,Experience Match,10,0
A-100053,91,Communication,8,0
A-100054,53,SQL Skills,5,0
A-100055,96,Tech Stack Match,7,0
A-100058,38,Communication,2,0
A-100059,94,Communication,7,0
A-100060,69,Experience Match,8,0
A-100061,52,Communication,3,0
A-100062,33,Communication,5,0
A-100063,41,SQL Skills,5,0
A-100064,87,SQL Skills,9,0
A-100065,92,Communication,9,0
A-100066,55,Experience Match,5,0
A-100067,72,Experience Match,8,0
A-100069,85,SQL Skills,7,0
A-100070,89,Communication,7,0
A-100071,94,Tech Stack Match,7,0
A-100072,30,Tech Stack Match,2,0
A-100073,57,SQL Skills,3,0
A-100074,56,Communication,3,0
A-100075,80,Tech Stack Match,9,0
A-100076,59,Tech Stack Match,3,0
A-100078,40,Communication,2,0
A-100079,63,Experience Match,4,0
A-100080,60,Experience Match,5,0
A-100081,66,Experience Match,7,0
A-100082,59,SQL Skills,7,0
A-100083,75,Tech Stack Match,6,0
A-100084,48,Experience Match,5,0
A-100085,67,SQL Skills,8,0
A-100086,84,Experience Match,9,0
A-100087,39,Communication,4,0
A-100088,63,Experience Match,5,0
A-100089,50,Experience Match,4,0
A-100090,66,SQL Skills,8,0
A-100091,53,Communication,5,0
A-100092,93,SQL Skills,8,0
A-100094,91,Tech Stack Match,9,0
A-100095,99,Communication,10,0
A-100096,93,Tech Stack Match,9,0
A-100098,100,Experience Match,10,0
A-100099,74,Communication,7,0
A-100100,69,Communication,7,0
A-100101,52,Communication,5,0
A-100102,50,Tech Stack Match,5,0
A-100103,34,Tech Stack Match,1,0
A-100104,51,Communication,5,0
A-100106,52,Communication,7,0
A-100107,68,Tech Stack Match,8,0
A-100108,64,Tech Stack Match,5,0
A-100109,54,Experience Match,3,0
A-100110,35,Experience Match,5,0
A-100112,94,Tech Stack Match,10,0
A-100113,62,Experience Match,5,0
A-100114,73,Experience Match,7,0
A-100115,64,Communication,8,0
A-100116,87,Experience Match,6,0
A-100118,57,Tech Stack Match,4,0
A-100119,63,SQL Skills,7,0
A-100121,36,Experience Match,3,0
A-100122,53,Tech Stack Match,6,0
A-100123,38,Communication,3,0
A-100124,92,SQL Skills,8,0
A-100125,51,SQL Skills,4,0
A-100128,34,Experience Match,4,0
A-100129,56,Tech Stack Match,6,0
A-100130,78,Experience Match,7,0
A-100131,55,SQL Skills,5,0
A-100133,49,Tech Stack Match,2,0
A-100134,40,SQL Skills,5,0
A-100135,99,Experience Match,10,0
A-100136,32,SQL Skills,4,0
A-100137,97,Communication,10,0
A-100138,59,Tech Stack Match,7,0
A-100139,63,Communication,4,0
A-100140,64,Communication,4,0
A-100141,34,Communication,5,0
A-100142,61,Tech Stack Match,6,0
A-100143,84,Communication,9,0
A-100144,58,SQL Skills,7,0
A-100145,36,Tech Stack Match,1,0
A-100146,87,Tech Stack Match,10,0
A-100148,67,Experience Match,7,0
A-100149,78,Communication,7,0
A-100152,94,Tech Stack Match,10,0
A-100153,43,SQL Skills,3,0
A-100154,82,Experience Match,7,0
A-100156,63,SQL Skills,4,0
A-100157,95,SQL Skills,9,0
A-100158,82,SQL Skills,7,0
A-100159,60,Tech Stack Match,7,0
A-100161,72,Tech Stack Match,6,0
A-100162,67,SQL Skills,4,0
A-100163,57,Communication,6,0
A-100164,58,Communication,6,0
A-100165,98,Communication,9,0
A-100168,30,Communication,4,0
A-100169,54,Tech Stack Match,3,0
A-100171,61,Tech Stack Match,4,0
A-100172,77,Communication,9,0
A-100175,98,SQL Skills,7,0
A-100177,93,Communication,10,0
A-100178,92,Communication,9,0
A-100179,88,Communication,9,0
A-100180,55,Tech Stack Match,7,0
A-100181,87,Experience Match,7,0
A-100182,65,Tech Stack Match,7,0
A-100183,64,SQL Skills,7,0
A-100184,83,Tech Stack Match,6,0
A-100185,100,Communication,9,0
A-100186,46,Communication,2,0
A-100187,65,Tech Stack Match,6,0
A-100188,65,Tech Stack Match,4,0
A-100189,40,Communication,4,0
A-100190,70,Tech Stack Match,5,0
A-100191,81,Communication,8,0
A-100192,40,Communication,5,0
A-100193,93,SQL Skills,10,0
A-100194,98,Tech Stack Match,7,0
A-100195,79,Communication,9,0
A-100197,42,Tech Stack Match,6,0
A-100199,90,SQL Skills,10,0
A-100200,60,Experience Match,4,0
A-100202,50,Tech Stack Match,4,0
A-100203,40,SQL Skills,4,0
A-100204,55,SQL Skills,7,0
A-100205,71,Tech Stack Match,6,0
A-100206,32,Experience Match,3,0
A-100207,48,Communication,3,0
A-100208,96,Communication,10,0
A-100210,68,SQL Skills,7,0
A-100211,80,Communication,6,0
A-100212,84,SQL Skills,6,0
A-100213,61,Experience Match,6,0
A-100214,31,Communication,2,0
A-100215,44,Experience Match,2,0
A-100216,36,Experience Match,3,0
A-100217,71,Communication,8,0
A-100218,85,Experience Match,10,0
A-100219,37,Communication,1,0
A-100220,100,Experience Match,10,0
A-100221,94,SQL Skills,7,0
A-100222,93,Communication,8,0
A-100223,54,Tech Stack Match,6,0
A-100224,62,Communication,6,0
A-100228,75,Communication,7,0
A-100229,45,Tech Stack Match,4,0
A-100230,79,SQL Skills,5,0
A-100231,63,Communication,7,0
