app_id,job_id,user_id,applied_at,ai_int_start,ai_int_finish,recruiter_view,resp_time_hrs,sla_status,final_status
A-100000,J-1044,U-50000,2025-02-24 08:02:00,2025-02-24 08:31:00,2025-02-24 08:48:00,2025-02-24 10:50:24,2.04,Met,Hired
A-100001,J-1018,U-50001,2025-02-17 18:35:00,2025-02-17 18:44:00,2025-02-17 19:01:00,2025-02-18 04:03:24,9.04,Breached,Rejected
A-100002,J-1088,U-50002,2025-03-21 23:09:00,,,,,,Dropped During AI Interview
A-100003,J-1141,U-50003,2025-01-31 05:51:00,2025-01-31 06:09:00,2025-01-31 06:29:00,2025-01-31 15:45:48,9.28,Breached,Rejected
A-100004,J-1076,U-50004,2025-01-05 15:14:00,2025-01-05 15:33:00,2025-01-05 15:49:00,2025-01-05 18:26:12,2.62,Met,Hired
A-100005,J-1020,U-50005,2025-03-24 16:25:00,2025-03-24 16:47:00,2025-03-24 17:02:00,2025-03-24 18:38:00,1.6,Met,Rejected
A-100006,J-1113,U-50006,2025-02-10 13:38:00,,,,,,Dropped During AI Interview
A-100007,J-1050,U-50007,2025-01-15 12:57:00,2025-01-15 13:10:00,2025-01-15 13:28:00,2025-01-15 13:59:12,0.52,Met,Rejected
A-100008,J-1052,U-50008,2025-03-26 03:46:00,2025-03-26 04:07:00,2025-03-26 04:25:00,2025-03-26 08:01:00,3.6,Met,Rejected
A-100009,J-1133,U-50009,2025-03-20 18:19:00,2025-03-20 18:24:00,2025-03-20 18:40:00,2025-03-20 23:14:48,4.58,Breached,Rejected
A-100010,J-1127,U-50010,2025-01-22 21:05:00,2025-01-22 21:31:00,2025-01-22 21:48:00,2025-01-22 23:11:24,1.39,Met,Rejected
A-100011,J-1148,U-50011,2025-03-02 19:54:00,2025-03-02 20:13:00,2025-03-02 20:33:00,2025-03-03 02:31:12,5.97,Met,Rejected
A-100012,J-1113,U-50012,2025-02-24 07:11:00,2025-02-24 07:38:00,2025-02-24 07:53:00,2025-02-24 13:41:00,5.8,Met,Rejected
A-100013,J-1093,U-50013,2025-02-26 19:52:00,2025-02-26 20:13:00,2025-02-26 20:32:00,2025-02-27 01:16:24,4.74,Met,Hired
A-100014,J-1011,U-50014,2025-03-22 07:17:00,2025-03-22 07:44:00,2025-03-22 08:01:00,2025-03-22 11:42:24,3.69,Breached,Rejected
A-100015,J-1054,U-50015,2025-01-09 13:26:00,2025-01-09 13:45:00,2025-01-09 14:01:00,2025-01-09 22:25:36,8.41,Breached,Rejected
A-100016,J-1063,U-50016,2025-02-19 13:34:00,2025-02-19 13:56:00,2025-02-19 14:12:00,2025-02-19 19:20:24,5.14,Met,Hired
A-100017,J-1115,U-50017,2025-03-01 04:39:00,2025-03-01 04:56:00,2025-03-01 05:16:00,2025-03-01 06:01:36,0.76,Met,Hired
A-100018,J-1045,U-50018,2025-02-28 10:21:00,2025-02-28 10:38:00,2025-02-28 10:56:00,2025-02-28 13:50:00,2.9,Met,Hired
A-100019,J-1012,U-50019,2025-01-04 07:12:00,2025-01-04 07:36:00,2025-01-04 07:52:00,2025-01-04 12:52:00,5.0,Met,Hired
A-100020,J-1032,U-50020,2025-01-21 09:06:00,2025-01-21 09:20:00,2025-01-21 09:38:00,2025-01-21 13:54:12,4.27,Breached,Rejected
A-100021,J-1115,U-50021,2025-03-14 01:22:00,2025-03-14 01:48:00,2025-03-14 02:07:00,2025-03-14 08:46:00,6.65,Breached,Hired
A-100022,J-1130,U-50022,2025-02-25 05:46:00,2025-02-25 06:11:00,2025-02-25 06:30:00,2025-02-25 14:21:36,7.86,Breached,Rejected
A-100023,J-1058,U-50023,2025-02-27 07:48:00,2025-02-27 08:12:00,2025-02-27 08:29:00,2025-02-27 09:15:12,0.77,Met,Rejected
A-100024,J-1125,U-50024,2025-03-18 22:56:00,2025-03-18 23:01:00,2025-03-18 23:17:00,2025-03-19 00:35:36,1.31,Met,Lost to Competitor
A-100025,J-1012,U-50025,2025-01-03 02:18:00,2025-01-03 02:45:00,2025-01-03 03:05:00,2025-01-03 09:06:12,6.02,Met,Rejected
A-100026,J-1018,U-50026,2025-02-09 08:14:00,2025-02-09 08:25:00,2025-02-09 08:45:00,2025-02-09 14:20:24,5.59,Met,Rejected
A-100027,J-1103,U-50027,2025-01-13 06:18:00,2025-01-13 06:28:00,2025-01-13 06:48:00,2025-01-13 12:22:12,5.57,Breached,Hired
A-100028,J-1081,U-50028,2025-01-02 18:18:00,2025-01-02 18:37:00,2025-01-02 18:52:00,2025-01-02 21:46:00,2.9,Met,Rejected
A-100029,J-1008,U-50029,2025-01-20 18:19:00,2025-01-20 18:31:00,2025-01-20 18:49:00,2025-01-21 01:04:36,6.26,Met,Rejected
A-100030,J-1084,U-50030,2025-02-09 18:39:00,2025-02-09 19:07:00,2025-02-09 19:23:00,2025-02-10 01:49:24,6.44,Breached,Rejected
A-100031,J-1126,U-50031,2025-02-22 14:44:00,2025-02-22 14:58:00,2025-02-22 15:15:00,2025-02-22 22:28:12,7.22,Breached,Rejected
A-100032,J-1085,U-50032,2025-02-24 03:34:00,2025-02-24 03:43:00,2025-02-24 03:59:00,2025-02-24 05:09:48,1.18,Met,Hired
A-100033,J-1149,U-50033,2025-03-31 12:17:00,2025-03-31 12:37:00,2025-03-31 12:56:00,2025-03-31 13:48:48,0.88,Met,Hired
A-100034,J-1007,U-50034,2025-03-28 08:36:00,2025-03-28 09:05:00,2025-03-28 09:24:00,2025-03-28 16:05:24,6.69,Breached,Rejected
A-100035,J-1075,U-50035,2025-02-22 10:20:00,2025-02-22 10:30:00,2025-02-22 10:50:00,2025-02-22 16:02:36,5.21,Met,Rejected
A-100036,J-1061,U-50036,2025-01-15 12:55:00,2025-01-15 13:00:00,2025-01-15 13:19:00,2025-01-15 18:12:24,4.89,Breached,Hired
A-100037,J-1079,U-50037,2025-02-04 17:08:00,,,,,,Dropped During AI Interview
A-100038,J-1061,U-50038,2025-02-26 22:31:00,2025-02-26 22:56:00,2025-02-26 23:12:00,2025-02-27 06:26:24,7.24,Breached,Rejected
A-100039,J-1117,U-50039,2025-01-16 20:53:00,2025-01-16 21:20:00,2025-01-16 21:40:00,2025-01-17 00:46:00,3.1,Met,Rejected
A-100040,J-1094,U-50040,2025-01-09 08:49:00,2025-01-09 09:07:00,2025-01-09 09:26:00,2025-01-09 12:28:24,3.04,Met,Hired
A-100041,J-1002,U-50041,2025-02-14 10:35:00,2025-02-14 10:52:00,2025-02-14 11:09:00,2025-02-14 19:54:36,8.76,Breached,Rejected
A-100042,J-1044,U-50042,2025-02-10 23:30:00,2025-02-11 00:00:00,2025-02-11 00:20:00,2025-02-11 08:21:48,8.03,Breached,Rejected
A-100043,J-1118,U-50043,2025-01-13 14:06:00,2025-01-13 14:25:00,2025-01-13 14:41:00,2025-01-13 19:04:24,4.39,Breached,Rejected
A-100044,J-1120,U-50044,2025-02-12 21:54:00,2025-02-12 22:09:00,2025-02-12 22:27:00,2025-02-13 07:14:24,8.79,Breached,Hired
A-100045,J-1031,U-50045,2025-03-23 22:55:00,2025-03-23 23:05:00,2025-03-23 23:20:00,2025-03-24 00:16:24,0.94,Met,Lost to Competitor
A-100046,J-1025,U-50046,2025-03-14 21:50:00,2025-03-14 22:00:00,2025-03-14 22:18:00,2025-03-15 04:41:24,6.39,Breached,Rejected
A-100047,J-1149,U-50047,2025-03-27 00:57:00,2025-03-27 01:11:00,2025-03-27 01:27:00,2025-03-27 02:39:00,1.2,Met,Rejected
A-100048,J-1003,U-50048,2025-02-19 15:06:00,2025-02-19 15:29:00,2025-02-19 15:46:00,2025-02-20 01:41:48,9.93,Breached,Rejected
A-100049,J-1008,U-50049,2025-02-06 07:38:00,2025-02-06 07:50:00,2025-02-06 08:09:00,2025-02-06 11:01:48,2.88,Met,Lost to Competitor
A-100050,J-1083,U-50050,2025-03-16 11:46:00,2025-03-16 12:00:00,2025-03-16 12:18:00,2025-03-16 14:28:12,2.17,Met,Hired
A-100051,J-1081,U-50051,2025-03-03 09:47:00,2025-03-03 10:17:00,2025-03-03 10:32:00,2025-03-03 12:22:24,1.84,Met,Rejected
A-100052,J-1078,U-50052,2025-03-10 03:29:00,2025-03-10 03:57:00,2025-03-10 04:16:00,2025-03-10 08:23:12,4.12,Breached,Rejected
A-100053,J-1145,U-50053,2025-03-20 07:41:00,2025-03-20 08:00:00,2025-03-20 08:17:00,2025-03-20 14:57:12,6.67,Breached,Lost to Competitor
A-100054,J-1149,U-50054,2025-02-19 14:23:00,2025-02-19 14:51:00,2025-02-19 15:10:00,2025-02-19 19:38:48,4.48,Breached,Rejected
A-100055,J-1101,U-50055,2025-03-30 11:13:00,2025-03-30 11:25:00,2025-03-30 11:40:00,2025-03-30 21:29:12,9.82,Breached,Rejected
A-100056,J-1102,U-50056,2025-01-12 21:13:00,2025-01-12 21:37:00,,,,,Dropped During AI Interview
A-100057,J-1127,U-50057,2025-01-07 10:15:00,,,,,,Dropped During AI Interview
